time,velocity
20.6200100000004,23.4323050206
20.6300100000004,23.6209791178
20.6400100000004,23.8131892925
20.6500100000004,24.0084734473
20.6600100000004,24.2062900023
20.6700100000004,24.4060067937
20.6800100000004,24.6068884472
20.6900100000004,24.8080820152
20.7000100000004,25.0086006335
20.7100100000004,25.2073049211
20.7200100000004,25.4028818045
20.7300100000004,25.5938204042
20.7400100000004,25.7783845718
20.7500100000004,25.9545816038
20.7600100000004,26.1201265973
20.7700100000004,26.2724018343
20.7800100000005,26.408410502
20.7900100000005,26.5247239601
20.8000100000005,26.6174216652
20.8100100000005,26.6820227481
20.8200100000005,26.713408114
20.8300100000005,26.705731807
20.8400100000005,26.6523202359
20.8500100000005,26.5455577182
20.8600100000005,26.3767566597
20.8700100000005,26.1360105592
20.8800100000005,25.8120279286
20.8900100000005,25.3919451675
20.9000100000005,24.8611164621
20.9100100000005,24.2028789252
20.9200100000005,23.3982915393
20.9300100000005,22.4258470743
20.9400100000005,21.2611571641
20.9500100000005,19.8766123144
20.9600100000005,18.241020996
20.9700100000005,16.3192355031
20.9800100000005,14.0717773271
20.9900100000005,11.4544820066
21.0000100000005,8.41819349331
21.0100100000005,4.90855194849
21.0200100000005,0.865937674781
21.0300100000005,3.77434118787
21.0400100000005,9.08149732458
21.0500100000005,15.1281890757
21.0600100000005,21.9887132418
21.0700100000005,29.7362047083
21.0800100000005,38.438530792
21.0900100000005,48.1525332534
21.1000100000005,58.9162762271
21.1100100000005,70.7390415813
21.1200100000005,83.5890260552
21.1300100000005,97.3790963838
21.1400100000005,111.951597909
21.1500100000005,127.064088888
21.1600100000005,142.378883223
21.1700100000005,157.460165412
21.1800100000005,171.782755922
21.1900100000005,184.755830752
21.2000100000005,195.762661318
21.2100100000005,131.369259492
21.2200100000005,35.3267107297
21.2300100000005,35.5098393071
21.2400100000005,35.6810042843
21.2500100000005,35.8399399728
21.2600100000005,35.9863870958
21.2700100000005,36.1200933162
21.2800100000005,36.2408137301
21.2900100000005,36.3483113486
21.3000100000005,36.4423575696
21.3100100000005,36.5227326386
21.3200100000005,36.5892260953
21.3300100000005,36.6416372058
21.3400100000005,36.6797753797
21.3500100000005,36.7034605702
21.3600100000005,36.712523656
21.3700100000005,36.7068068055
21.3800100000005,36.6861638203
21.3900100000005,36.6504604592
21.4000100000005,36.5995747406
21.4100100000006,36.5333972234
21.4200100000005,36.4518312662
21.4300100000006,36.3547932628
21.4400100000006,36.2422128555
21.4500100000006,36.1140331253
21.4600100000006,35.9702107579
21.4700100000006,35.8107161869
21.4800100000006,35.6355337131
21.4900100000006,35.4446616003
21.5000100000006,35.2381121481
21.5100100000006,35.0159117408
21.5200100000006,34.7781008748
21.5300100000006,34.5247341616
21.5400100000006,34.2558803104
21.5500100000006,33.9716220878
21.5600100000006,33.6720562568
21.5700100000006,33.3572934953
21.5800100000006,33.0274582937
21.5900100000006,32.6826888336
21.6000100000006,32.3231368477
21.6100100000006,31.9489674611
21.6200100000006,31.560359015
21.6300100000006,31.1575028739
21.6400100000006,30.7406032166
21.6500100000006,30.3098768109
21.6600100000006,29.8655527752
21.6700100000006,29.4078723242
21.6800100000006,28.9370885028
21.6900100000006,28.4534659064
21.7000100000006,27.9572803895
21.7100100000006,27.4488187637
21.7200100000006,26.9283784838
21.7300100000006,26.3962673254
21.7400100000006,25.8528030519
21.7500100000006,25.2983130739
21.7600100000006,24.7331340999
21.7700100000006,24.1576117791
21.7800100000006,23.5721003384
21.7900100000006,22.9769622116
21.8000100000006,22.3725676638
21.8100100000006,21.7592944091
21.8200100000006,21.1375272247
21.8300100000006,20.507657559
21.8400100000006,19.8700831365
21.8500100000006,19.2252075583
21.8600100000006,18.5734398998
21.8700100000006,17.9151943046
21.8800100000006,17.2508895757
21.8900100000006,16.5809487653
21.9000100000006,15.9057987606
21.9100100000006,15.2258698695
21.9200100000006,14.5415954033
21.9300100000006,13.8534112589
21.9400100000006,13.1617554993
21.9500100000006,12.467067933
21.9600100000006,11.7697896938
21.9700100000006,11.0703628181
21.9800100000006,10.3692298238
21.9900100000006,9.66683328789
22.0000100000006,8.96361542438
22.0100100000006,8.2600176624
22.0200100000006,7.55648022485
22.0300100000006,6.85344170747
22.0400100000006,6.15133865882
22.0500100000006,5.45060516119
22.0600100000007,4.75167241271
22.0700100000007,4.05496831087
22.0800100000007,3.36091703774
22.0900100000007,2.66993864692
22.1000100000007,1.98244865278
22.1100100000007,1.29885762196
22.1200100000007,0.619570767644
22.1300100000007,0.0550124532936
22.1400100000007,0.724498739763
22.1500100000007,1.38850134236
22.1600100000007,2.04664045522
22.1700100000007,2.69854360358
22.1800100000007,3.34384602647
22.1900100000007,3.98219105424
22.2000100000007,4.61323048039
22.2100100000007,5.23662492729
22.2200100000007,5.85204420517
22.2300100000007,6.45916766403
22.2400100000007,7.05768453764
22.2500100000007,7.64729427935
22.2600100000007,8.22770688885
22.2700100000007,8.79864322942
22.2800100000007,9.35983533487
22.2900100000007,9.9110267056
22.3000100000007,10.451972593
22.3100100000007,10.9824402716
22.3200100000007,11.5022092978
22.3300100000007,12.0110717554
22.3400100000007,12.5088324856
22.3500100000007,12.9953093029
22.3600100000007,13.4703331931
22.3700100000007,13.9337484962
22.3800100000007,14.3854130701
22.3900100000007,14.8251984369
22.4000100000007,15.2529899091
22.4100100000007,15.6686866961
22.4200100000007,16.0722019904
22.4300100000007,16.4634630316
22.4400100000007,16.842411149
22.4500100000007,17.2090017812
22.4600100000007,17.5632044724
22.4700100000007,17.9050028448
22.4800100000007,18.2343945472
22.4900100000007,18.5513911785
22.5000100000007,18.8560181866
22.5100100000007,19.1483147414
22.5200100000007,19.4283335831
22.5300100000007,19.6961408449
22.5400100000007,19.9518158499
22.5500100000007,20.1954508829
22.5600100000007,20.427150937
22.5700100000007,20.6470334356
22.5800100000007,20.8552279298
22.5900100000007,21.0518757722
22.6000100000007,21.237129767
22.6100100000007,21.4111537988
22.6200100000007,21.5741224389
22.6300100000007,21.7262205319
22.6400100000007,21.867642762
22.6500100000007,21.9985932023
22.6600100000007,22.1192848469
22.6700100000007,22.2299391269
22.6800100000007,22.3307854135
22.6900100000007,22.4220605089
22.7000100000008,22.5040081253
22.7100100000008,22.5768783569
22.7200100000008,22.6409271433
22.7300100000008,22.6964157284
22.7400100000008,22.7436101162
22.7500100000008,22.7827805244
22.7600100000008,22.8142008389
22.7700100000008,22.8381480713
22.7800100000008,22.8549018219
22.7900100000008,22.8647437277
22.8000100000008,22.8679569891
22.8100100000008,22.864825784
22.8200100000008,22.8556348172
22.8300100000008,22.8406688082
22.8400100000008,22.8202120185
22.8500100000008,22.7945477908
22.8600100000008,22.7639581059
22.8700100000008,22.7287231583
22.8800100000008,22.6891209508
22.8900100000008,22.6454269108
22.9000100000008,22.5979135268
22.9100100000008,22.546850008
22.9200100000008,22.4925019668
22.9300100000008,22.4351311239
22.9400100000008,22.3749950379
22.9500100000008,22.3123468578
22.9600100000008,22.2474351009
22.9700100000008,22.1805034529
22.9800100000008,22.1117905934
22.9900100000008,22.0415300435
23.0000100000008,21.9699500382
23.0100100000008,21.8972734198
23.0200100000008,21.8237175549
23.0300100000008,21.749494272
23.0400100000008,21.6748098205
23.0500100000008,21.5998648493
23.0600100000008,21.5248544052
23.0700100000008,21.4499679494
23.0800100000008,21.3753893911
23.0900100000008,21.3012971379
23.1000100000008,21.2278641619
23.1100100000008,21.1552580802
23.1200100000008,21.0836412481
23.1300100000008,21.0131708663
23.1400100000008,20.9439990977
23.1500100000008,20.8762731966
23.1600100000008,20.8101356454
23.1700100000008,20.7457243013
23.1800100000008,20.6831725493
23.1900100000008,20.6226094625
